instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
9128,2012-01-21,1,1,1,5,0,6,0,3,0.16,0.1818,0.86,0.1045,0,2,2
7532,2011-11-15,4,0,11,10,0,2,1,2,0.56,0.5303,0.64,0.2836,23,115,138
8153,2011-12-11,4,0,12,8,0,0,0,1,0.16,0.2273,0.69,0.0,4,68,72
9289,2012-01-27,1,1,1,22,0,5,1,1,0.34,0.303,0.49,0.3881,11,108,119
7538,2011-11-15,4,0,11,16,0,2,1,2,0.52,0.5,0.68,0.1343,31,240,271
8282,2011-12-16,4,0,12,17,0,5,1,2,0.32,0.303,0.45,0.2836,13,352,365
8122,2011-12-10,4,0,12,1,0,6,0,2,0.26,0.2576,0.7,0.1642,11,55,66
7634,2011-11-19,4,0,11,16,0,6,0,1,0.42,0.4242,0.38,0.2985,99,188,287
6138,2011-09-18,3,0,9,7,0,0,0,1,0.46,0.4545,0.72,0.2239,15,29,44
5691,2011-08-30,3,0,8,13,0,2,1,1,0.74,0.6515,0.35,0.1045,59,170,229
9490,2012-02-05,1,1,2,7,0,0,0,2,0.24,0.2424,0.75,0.1642,0,16,16
9983,2012-02-25,1,1,2,23,0,6,0,1,0.24,0.19699999999999998,0.41,0.4179,7,84,91
7559,2011-11-16,4,0,11,13,0,3,1,3,0.46,0.4545,0.94,0.1343,6,52,58
9488,2012-02-05,1,1,2,5,0,0,0,3,0.26,0.2576,0.81,0.19399999999999998,0,4,4
5055,2011-08-03,3,0,8,12,0,3,1,3,0.76,0.6970000000000001,0.55,0.1343,19,142,161
8242,2011-12-15,4,0,12,1,0,4,1,2,0.32,0.3182,0.7,0.1642,5,15,20
5482,2011-08-21,3,0,8,7,0,0,0,1,0.68,0.6364,0.83,0.2985,12,19,31
7770,2011-11-25,4,0,11,8,0,5,1,1,0.26,0.2727,0.81,0.1343,6,68,74
8255,2011-12-15,4,0,12,14,0,4,1,2,0.52,0.5,0.52,0.3284,8,124,132
8623,2011-12-31,1,0,12,1,0,6,0,2,0.4,0.4091,0.62,0.2836,4,31,35
9322,2012-01-29,1,1,1,7,0,0,0,1,0.2,0.2121,0.37,0.1343,0,12,12
8111,2011-12-09,4,0,12,14,0,5,1,1,0.38,0.3939,0.46,0.2836,24,163,187
9893,2012-02-22,1,1,2,5,0,3,1,1,0.32,0.3333,0.7,0.1045,1,29,30
8895,2012-01-11,1,1,1,11,0,3,1,2,0.26,0.2879,0.87,0.0896,9,90,99
7831,2011-11-27,4,0,11,21,0,0,0,1,0.48,0.4697,0.67,0.2836,13,75,88
7471,2011-11-12,4,0,11,21,0,6,0,1,0.42,0.4242,0.47,0.2836,19,103,122
8662,2012-01-01,1,1,1,16,0,0,0,2,0.44,0.4394,0.54,0.2985,68,147,215
9433,2012-02-02,1,1,2,22,0,4,1,1,0.32,0.2879,0.49,0.4179,3,106,109
9916,2012-02-23,1,1,2,4,0,4,1,1,0.4,0.4091,0.76,0.2239,0,1,1
7661,2011-11-20,4,0,11,19,0,0,0,2,0.5,0.4848,0.72,0.1045,17,140,157
9277,2012-01-27,1,1,1,10,0,5,1,3,0.48,0.4697,1.0,0.1642,9,117,126
8329,2011-12-18,4,0,12,16,0,0,0,1,0.28,0.2727,0.48,0.2537,27,207,234
9285,2012-01-27,1,1,1,18,0,5,1,1,0.4,0.4091,0.5,0.4925,20,363,383
9324,2012-01-29,1,1,1,9,0,0,0,1,0.18,0.19699999999999998,0.43,0.1343,13,98,111
7509,2011-11-14,4,0,11,11,0,1,1,2,0.54,0.5152,0.6,0.2836,22,106,128
9045,2012-01-17,1,1,1,18,0,2,1,1,0.46,0.4545,0.63,0.4478,12,451,463
8878,2012-01-10,1,1,1,18,0,2,1,1,0.4,0.4091,0.4,0.1045,13,372,385
8291,2011-12-17,4,0,12,2,0,6,0,2,0.28,0.2727,0.56,0.2239,11,47,58
8438,2011-12-23,1,0,12,5,0,5,1,1,0.36,0.3485,0.93,0.19399999999999998,0,8,8
5717,2011-08-31,3,0,8,15,0,3,1,1,0.74,0.6515,0.4,0.1343,34,138,172
8229,2011-12-14,4,0,12,12,0,3,1,2,0.36,0.3636,0.57,0.0896,6,138,144
9705,2012-02-14,1,1,2,7,0,2,1,2,0.24,0.2576,0.6,0.0896,4,276,280
7680,2011-11-21,4,0,11,14,0,1,1,2,0.48,0.4697,0.82,0.19399999999999998,14,121,135
6403,2011-09-29,4,0,9,8,0,4,1,1,0.6,0.5606,0.83,0.0,29,402,431
8660,2012-01-01,1,1,1,14,0,0,0,1,0.44,0.4394,0.54,0.2985,120,147,267
9404,2012-02-01,1,1,2,17,0,3,1,1,0.58,0.5455,0.43,0.19399999999999998,31,508,539
8726,2012-01-04,1,1,1,9,0,3,1,1,0.04,0.0606,0.45,0.1343,7,173,180
7677,2011-11-21,4,0,11,11,0,1,1,2,0.52,0.5,0.83,0.1045,16,112,128
7483,2011-11-13,4,0,11,9,0,0,0,1,0.4,0.4091,0.54,0.2836,38,97,135
9092,2012-01-19,1,1,1,17,0,4,1,2,0.26,0.2273,0.44,0.3284,21,364,385
9150,2012-01-22,1,1,1,3,0,0,0,2,0.18,0.1667,0.69,0.2836,1,20,21
9073,2012-01-18,1,1,1,22,0,3,1,1,0.18,0.1667,0.47,0.2537,4,74,78
6985,2011-10-23,4,0,10,15,0,0,0,1,0.52,0.5,0.52,0.1642,171,216,387
9703,2012-02-14,1,1,2,5,0,2,1,2,0.26,0.2727,0.65,0.1045,2,20,22
9823,2012-02-19,1,1,2,5,0,0,0,2,0.26,0.2273,0.48,0.2985,1,1,2
5473,2011-08-20,3,0,8,22,0,6,0,2,0.7,0.6667,0.74,0.19399999999999998,77,146,223
8133,2011-12-10,4,0,12,12,0,6,0,1,0.32,0.2879,0.45,0.4179,48,235,283
8807,2012-01-07,1,1,1,18,0,6,0,1,0.54,0.5152,0.45,0.1343,49,248,297
8462,2011-12-24,1,0,12,5,0,6,0,2,0.32,0.3182,0.66,0.1642,1,3,4
8360,2011-12-19,4,0,12,23,0,1,1,1,0.36,0.3485,0.53,0.1642,10,50,60
8065,2011-12-07,4,0,12,16,0,3,1,3,0.42,0.4242,0.94,0.19399999999999998,3,28,31
9740,2012-02-15,1,1,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,9,459,468
7805,2011-11-26,4,0,11,19,0,6,0,2,0.4,0.4091,0.71,0.0896,46,100,146
9268,2012-01-27,1,1,1,1,0,5,1,2,0.4,0.4091,0.87,0.2239,6,23,29
9587,2012-02-09,1,1,2,9,0,4,1,1,0.2,0.19699999999999998,0.59,0.2239,9,229,238
9907,2012-02-22,1,1,2,19,0,3,1,2,0.46,0.4545,0.44,0.2836,22,305,327
9240,2012-01-25,1,1,1,21,0,3,1,1,0.3,0.3333,0.65,0.0,19,166,185
8013,2011-12-05,4,0,12,12,0,1,1,2,0.4,0.4091,0.76,0.1045,29,125,154
9314,2012-01-28,1,1,1,23,0,6,0,1,0.32,0.3182,0.31,0.19399999999999998,6,79,85
9418,2012-02-02,1,1,2,7,0,4,1,3,0.36,0.3788,0.93,0.0,4,201,205
9915,2012-02-23,1,1,2,3,0,4,1,3,0.44,0.4394,0.67,0.19399999999999998,2,4,6
9280,2012-01-27,1,1,1,13,0,5,1,1,0.5,0.4848,0.59,0.4627,26,175,201
8364,2011-12-20,4,0,12,3,0,2,1,2,0.34,0.3636,0.61,0.0,1,1,2
9291,2012-01-28,1,1,1,0,0,6,0,1,0.3,0.2879,0.52,0.2836,1,68,69
7811,2011-11-27,4,0,11,1,0,0,0,1,0.36,0.3788,0.81,0.0,9,35,44
7915,2011-12-01,4,0,12,10,0,4,1,1,0.32,0.303,0.53,0.2985,7,86,93
8453,2011-12-23,1,0,12,20,0,5,1,1,0.32,0.303,0.61,0.3284,3,47,50
9380,2012-01-31,1,1,1,17,0,2,1,1,0.54,0.5152,0.26,0.4179,41,518,559
9662,2012-02-12,1,1,2,12,0,0,0,1,0.14,0.0758,0.39,0.6418,7,133,140
8083,2011-12-08,4,0,12,10,0,4,1,1,0.26,0.2273,0.52,0.3284,1,109,110
8188,2011-12-12,4,0,12,19,0,1,1,1,0.28,0.303,0.61,0.0896,9,232,241
9482,2012-02-04,1,1,2,23,0,6,0,2,0.24,0.2424,0.87,0.1343,4,66,70
9654,2012-02-12,1,1,2,4,0,0,0,2,0.1,0.0455,0.46,0.7164,0,1,1
8320,2011-12-18,4,0,12,7,0,0,0,1,0.2,0.2121,0.59,0.1642,1,11,12
9319,2012-01-29,1,1,1,4,0,0,0,1,0.24,0.2576,0.3,0.0,0,5,5
8772,2012-01-06,1,1,1,7,0,5,1,2,0.24,0.2879,0.65,0.0,4,201,205
9818,2012-02-19,1,1,2,0,0,0,0,2,0.34,0.303,0.39,0.3582,9,65,74
9959,2012-02-24,1,1,2,23,0,5,1,1,0.38,0.3939,0.37,0.6866,10,76,86
8886,2012-01-11,1,1,1,2,0,3,1,1,0.2,0.2121,0.85,0.1642,0,5,5
9858,2012-02-20,1,1,2,17,1,1,0,1,0.38,0.3939,0.27,0.2537,27,226,253
9598,2012-02-09,1,1,2,20,0,4,1,1,0.32,0.3485,0.36,0.0,2,197,199
8091,2011-12-08,4,0,12,18,0,4,1,1,0.28,0.2727,0.52,0.2239,12,306,318
9595,2012-02-09,1,1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343,12,387,399
9554,2012-02-08,1,1,2,0,0,3,1,1,0.3,0.2879,0.56,0.2239,2,21,23
8260,2011-12-15,4,0,12,19,0,4,1,2,0.52,0.5,0.59,0.2836,13,274,287
7565,2011-11-16,4,0,11,19,0,3,1,3,0.46,0.4545,0.88,0.3881,3,108,111
7889,2011-11-30,4,0,11,8,0,3,1,1,0.28,0.2727,0.81,0.19399999999999998,13,465,478
5686,2011-08-30,3,0,8,8,0,2,1,1,0.62,0.6212,0.57,0.1343,34,459,493
7748,2011-11-24,4,0,11,10,1,4,0,1,0.36,0.3788,0.57,0.0,34,64,98
7911,2011-12-01,4,0,12,6,0,4,1,1,0.24,0.2121,0.65,0.2836,5,92,97
8533,2011-12-27,1,0,12,6,0,2,1,2,0.3,0.2727,0.61,0.2985,0,35,35
8221,2011-12-14,4,0,12,4,0,3,1,1,0.26,0.303,0.75,0.0,0,4,4
7718,2011-11-23,4,0,11,4,0,3,1,3,0.52,0.5,0.88,0.3582,0,5,5
9275,2012-01-27,1,1,1,8,0,5,1,3,0.5,0.4848,0.88,0.2836,14,206,220
6967,2011-10-22,4,0,10,21,0,6,0,1,0.4,0.4091,0.76,0.0,37,120,157
7508,2011-11-14,4,0,11,10,0,1,1,2,0.5,0.4848,0.63,0.2836,26,85,111
6007,2011-09-12,3,0,9,20,0,1,1,1,0.66,0.6212,0.65,0.0,41,258,299
8853,2012-01-09,1,1,1,16,0,1,1,3,0.22,0.2576,0.87,0.0896,3,46,49
7869,2011-11-29,4,0,11,12,0,2,1,3,0.42,0.4242,0.82,0.4179,1,17,18
9113,2012-01-20,1,1,1,14,0,5,1,2,0.22,0.2121,0.35,0.2985,8,107,115
8390,2011-12-21,1,0,12,5,0,3,1,2,0.38,0.3939,0.82,0.1045,0,28,28
6562,2011-10-05,4,0,10,23,0,3,1,1,0.5,0.4848,0.77,0.1045,9,64,73
9026,2012-01-16,1,1,1,22,1,1,0,2,0.3,0.2727,0.49,0.3582,4,39,43
7790,2011-11-26,4,0,11,4,0,6,0,1,0.3,0.3333,0.81,0.0,0,4,4
9984,2012-02-26,1,1,2,0,0,0,0,1,0.24,0.2121,0.41,0.3582,7,63,70
8102,2011-12-09,4,0,12,5,0,5,1,1,0.22,0.2727,0.8,0.0,0,20,20
8690,2012-01-02,1,1,1,21,1,1,0,2,0.24,0.2121,0.41,0.3284,3,63,66
8590,2011-12-29,1,0,12,16,0,4,1,1,0.3,0.303,0.52,0.1642,22,155,177
8334,2011-12-18,4,0,12,21,0,0,0,1,0.22,0.2727,0.64,0.0,9,80,89
8555,2011-12-28,1,0,12,5,0,3,1,1,0.32,0.2879,0.57,0.3582,0,9,9
9948,2012-02-24,1,1,2,12,0,5,1,2,0.4,0.4091,0.76,0.1343,27,201,228
6899,2011-10-20,4,0,10,1,0,4,1,1,0.56,0.5303,0.88,0.3582,4,11,15
8696,2012-01-03,1,1,1,3,0,2,1,1,0.16,0.1364,0.55,0.2836,0,2,2
7667,2011-11-21,4,0,11,1,0,1,1,3,0.46,0.4545,0.94,0.19399999999999998,4,8,12
8581,2011-12-29,1,0,12,7,0,4,1,1,0.18,0.2121,0.64,0.0896,2,104,106
9062,2012-01-18,1,1,1,11,0,3,1,1,0.3,0.2727,0.42,0.3881,4,110,114
9958,2012-02-24,1,1,2,22,0,5,1,1,0.4,0.4091,0.37,0.5821,4,102,106
8023,2011-12-05,4,0,12,22,0,1,1,2,0.44,0.4394,0.88,0.1343,12,94,106
6681,2011-10-10,4,0,10,22,1,1,0,1,0.56,0.5303,0.88,0.0896,22,104,126
9865,2012-02-21,1,1,2,0,0,2,1,1,0.26,0.303,0.65,0.0,1,11,12
9812,2012-02-18,1,1,2,18,0,6,0,1,0.46,0.4545,0.38,0.2985,70,176,246
7671,2011-11-21,4,0,11,5,0,1,1,2,0.44,0.4394,1.0,0.0,0,20,20
7707,2011-11-22,4,0,11,17,0,2,1,3,0.44,0.4394,1.0,0.0896,4,161,165
7096,2011-10-28,4,0,10,6,0,5,1,1,0.28,0.2727,0.65,0.2537,1,74,75
9155,2012-01-22,1,1,1,8,0,0,0,2,0.16,0.1515,0.74,0.2239,3,29,32
9570,2012-02-08,1,1,2,16,0,3,1,3,0.26,0.2727,0.81,0.1045,2,73,75
8090,2011-12-08,4,0,12,17,0,4,1,1,0.3,0.3182,0.49,0.1045,10,321,331
8969,2012-01-14,1,1,1,13,0,6,0,1,0.22,0.2121,0.44,0.2836,38,182,220
6935,2011-10-21,4,0,10,13,0,5,1,1,0.48,0.4697,0.48,0.3284,43,163,206
8505,2011-12-26,1,0,12,1,1,1,0,1,0.28,0.2727,0.56,0.19399999999999998,3,7,10
8773,2012-01-06,1,1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,11,436,447
8950,2012-01-13,1,1,1,18,0,5,1,1,0.26,0.2273,0.38,0.2985,7,294,301
9617,2012-02-10,1,1,2,15,0,5,1,2,0.32,0.3333,0.45,0.1343,27,164,191
9044,2012-01-17,1,1,1,17,0,2,1,1,0.46,0.4545,0.63,0.4478,20,442,462
6053,2011-09-14,3,0,9,18,0,3,1,1,0.72,0.6818,0.62,0.1642,83,503,586
7760,2011-11-24,4,0,11,22,1,4,0,1,0.36,0.3485,0.71,0.1642,8,14,22
9447,2012-02-03,1,1,2,12,0,5,1,1,0.34,0.3333,0.46,0.1343,25,191,216
9398,2012-02-01,1,1,2,11,0,3,1,1,0.4,0.4091,0.58,0.1642,27,116,143
7638,2011-11-19,4,0,11,20,0,6,0,2,0.36,0.3636,0.57,0.1045,48,115,163
9909,2012-02-22,1,1,2,21,0,3,1,2,0.48,0.4697,0.33,0.2836,19,220,239
7738,2011-11-24,4,0,11,0,1,4,0,1,0.32,0.303,0.57,0.2239,1,22,23
8864,2012-01-10,1,1,1,4,0,2,1,2,0.2,0.2121,0.86,0.1642,0,4,4
8265,2011-12-16,4,0,12,0,0,5,1,1,0.5,0.4848,0.72,0.3284,12,60,72
8021,2011-12-05,4,0,12,20,0,1,1,2,0.46,0.4545,0.82,0.1045,15,190,205
5955,2011-09-10,3,0,9,15,0,6,0,1,0.74,0.6818,0.55,0.2239,217,263,480
8644,2011-12-31,1,0,12,22,0,6,0,1,0.38,0.3939,0.62,0.1343,2,36,38
8062,2011-12-07,4,0,12,13,0,3,1,3,0.44,0.4394,1.0,0.19399999999999998,5,28,33
8094,2011-12-08,4,0,12,21,0,4,1,1,0.28,0.303,0.61,0.0896,4,135,139
7627,2011-11-19,4,0,11,9,0,6,0,1,0.28,0.2576,0.52,0.2985,12,130,142
7533,2011-11-15,4,0,11,11,0,2,1,2,0.56,0.5303,0.64,0.19399999999999998,18,116,134
9256,2012-01-26,1,1,1,13,0,4,1,2,0.38,0.3939,0.71,0.0,17,156,173
8489,2011-12-25,1,0,12,9,0,0,0,1,0.24,0.2424,0.87,0.1642,3,20,23
9323,2012-01-29,1,1,1,8,0,0,0,1,0.18,0.19699999999999998,0.4,0.1343,9,61,70
8370,2011-12-20,4,0,12,9,0,2,1,2,0.36,0.3788,0.66,0.0,14,245,259
8191,2011-12-12,4,0,12,22,0,1,1,1,0.26,0.303,0.7,0.0,0,71,71
8799,2012-01-07,1,1,1,10,0,6,0,1,0.28,0.303,0.75,0.0896,43,160,203
8630,2011-12-31,1,0,12,8,0,6,0,1,0.34,0.3333,0.81,0.1343,7,42,49
7896,2011-11-30,4,0,11,15,0,3,1,1,0.36,0.3333,0.46,0.3284,11,104,115
8586,2011-12-29,1,0,12,12,0,4,1,2,0.26,0.2727,0.56,0.1045,12,118,130
9359,2012-01-30,1,1,1,20,0,1,1,1,0.3,0.303,0.39,0.1642,2,179,181
6413,2011-09-29,4,0,9,18,0,4,1,1,0.64,0.6212,0.41,0.2239,84,500,584
7823,2011-11-27,4,0,11,13,0,0,0,1,0.54,0.5152,0.6,0.19399999999999998,97,216,313
7724,2011-11-23,4,0,11,10,0,3,1,2,0.52,0.5,0.94,0.19399999999999998,6,70,76
9381,2012-01-31,1,1,1,18,0,2,1,1,0.54,0.5152,0.24,0.3582,16,486,502
7867,2011-11-29,4,0,11,10,0,2,1,3,0.56,0.5303,0.73,0.4179,2,34,36
8084,2011-12-08,4,0,12,11,0,4,1,1,0.28,0.2727,0.52,0.2537,6,100,106
8315,2011-12-18,4,0,12,2,0,0,0,1,0.22,0.2424,0.55,0.1045,2,39,41
7032,2011-10-25,4,0,10,14,0,2,1,1,0.56,0.5303,0.4,0.2537,66,134,200
9827,2012-02-19,1,1,2,9,0,0,0,2,0.24,0.2273,0.56,0.2537,20,73,93
5772,2011-09-02,3,0,9,22,0,5,1,2,0.64,0.6061,0.73,0.1642,33,114,147
8071,2011-12-07,4,0,12,22,0,3,1,3,0.24,0.19699999999999998,0.93,0.4478,0,13,13
9109,2012-01-20,1,1,1,10,0,5,1,2,0.22,0.2121,0.44,0.2836,1,96,97
7623,2011-11-19,4,0,11,5,0,6,0,1,0.24,0.2273,0.56,0.2537,0,2,2
8589,2011-12-29,1,0,12,15,0,4,1,2,0.3,0.3182,0.52,0.0896,27,150,177
8427,2011-12-22,1,0,12,18,0,4,1,2,0.44,0.4394,0.62,0.0896,11,277,288
9209,2012-01-24,1,1,1,14,0,2,1,1,0.36,0.3485,0.81,0.2239,35,138,173
7629,2011-11-19,4,0,11,11,0,6,0,1,0.36,0.3788,0.4,0.0,50,183,233
8416,2011-12-22,1,0,12,7,0,4,1,1,0.34,0.3636,0.93,0.0,4,182,186
8740,2012-01-04,1,1,1,23,0,3,1,2,0.2,0.2273,0.44,0.1045,0,32,32
8758,2012-01-05,1,1,1,17,0,4,1,2,0.36,0.3485,0.34,0.19399999999999998,19,393,412
5702,2011-08-31,3,0,8,0,0,3,1,1,0.6,0.5909,0.69,0.0,8,24,32
7829,2011-11-27,4,0,11,19,0,0,0,1,0.48,0.4697,0.67,0.2239,30,109,139
9768,2012-02-16,1,1,2,22,0,4,1,2,0.32,0.3485,0.81,0.0,3,108,111
9091,2012-01-19,1,1,1,16,0,4,1,1,0.26,0.2273,0.41,0.3284,8,185,193
9990,2012-02-26,1,1,2,6,0,0,0,1,0.22,0.19699999999999998,0.44,0.3284,0,2,2
8875,2012-01-10,1,1,1,15,0,2,1,1,0.42,0.4242,0.38,0.2985,17,119,136
8756,2012-01-05,1,1,1,15,0,4,1,1,0.36,0.3333,0.34,0.2836,6,113,119
5834,2011-09-05,3,0,9,12,1,1,0,2,0.72,0.6818,0.7,0.19399999999999998,141,212,353
8639,2011-12-31,1,0,12,17,0,6,0,1,0.42,0.4242,0.54,0.19399999999999998,28,101,129
9346,2012-01-30,1,1,1,7,0,1,1,1,0.22,0.2121,0.44,0.2836,4,221,225
8162,2011-12-11,4,0,12,17,0,0,0,1,0.28,0.3182,0.3,0.0,13,150,163
8199,2011-12-13,4,0,12,6,0,2,1,1,0.2,0.2576,0.8,0.0,0,92,92
9657,2012-02-12,1,1,2,7,0,0,0,1,0.08,0.0909,0.53,0.19399999999999998,0,18,18
9046,2012-01-17,1,1,1,19,0,2,1,1,0.46,0.4545,0.63,0.4179,11,297,308
5958,2011-09-10,3,0,9,18,0,6,0,1,0.72,0.6667,0.58,0.19399999999999998,119,241,360
9120,2012-01-20,1,1,1,21,0,5,1,2,0.2,0.2273,0.37,0.0896,5,99,104
6532,2011-10-04,4,0,10,17,0,2,1,1,0.56,0.5303,0.6,0.3881,55,530,585
9024,2012-01-16,1,1,1,20,1,1,0,1,0.26,0.2424,0.6,0.2836,2,88,90
7607,2011-11-18,4,0,11,13,0,5,1,1,0.34,0.3182,0.31,0.2239,31,146,177
7750,2011-11-24,4,0,11,12,1,4,0,1,0.46,0.4545,0.36,0.2239,62,88,150
9637,2012-02-11,1,1,2,11,0,6,0,2,0.24,0.2576,0.81,0.1045,26,157,183
9659,2012-02-12,1,1,2,9,0,0,0,1,0.1,0.0909,0.49,0.2985,3,60,63
8744,2012-01-05,1,1,1,3,0,4,1,1,0.2,0.2576,0.61,0.0,0,4,4
9751,2012-02-16,1,1,2,5,0,4,1,2,0.3,0.3333,0.7,0.0,0,20,20
8563,2011-12-28,1,0,12,13,0,3,1,1,0.34,0.2879,0.39,0.4627,24,135,159
8120,2011-12-09,4,0,12,23,0,5,1,1,0.28,0.3182,0.81,0.0,6,88,94
7949,2011-12-02,4,0,12,20,0,5,1,1,0.38,0.3939,0.4,0.2836,12,178,190
9820,2012-02-19,1,1,2,2,0,0,0,2,0.3,0.2879,0.36,0.2836,3,45,48
6418,2011-09-29,4,0,9,23,0,4,1,1,0.52,0.5,0.77,0.1045,17,64,81
7522,2011-11-15,4,0,11,0,0,2,1,1,0.56,0.5303,0.64,0.3582,7,15,22
9880,2012-02-21,1,1,2,16,0,2,1,1,0.36,0.3333,0.46,0.4179,14,240,254
9873,2012-02-21,1,1,2,9,0,2,1,1,0.2,0.2273,0.75,0.1045,6,211,217
6721,2011-10-12,4,0,10,14,0,3,1,3,0.54,0.5152,0.94,0.2836,8,70,78
8308,2011-12-17,4,0,12,19,0,6,0,3,0.24,0.2121,0.65,0.3284,11,95,106
7514,2011-11-14,4,0,11,16,0,1,1,1,0.62,0.6212,0.46,0.4179,51,264,315
9764,2012-02-16,1,1,2,18,0,4,1,3,0.34,0.3333,0.87,0.1343,8,345,353
9724,2012-02-15,1,1,2,2,0,3,1,1,0.3,0.3333,0.61,0.0,0,4,4
7736,2011-11-23,4,0,11,22,0,3,1,1,0.34,0.303,0.61,0.4478,3,59,62
8326,2011-12-18,4,0,12,13,0,0,0,1,0.3,0.2727,0.49,0.2985,18,210,228
7504,2011-11-14,4,0,11,6,0,1,1,2,0.44,0.4394,0.72,0.2239,10,104,114
8232,2011-12-14,4,0,12,15,0,3,1,2,0.38,0.3939,0.54,0.1045,24,143,167
8059,2011-12-07,4,0,12,10,0,3,1,3,0.44,0.4394,1.0,0.0896,1,32,33
7721,2011-11-23,4,0,11,7,0,3,1,2,0.46,0.4545,1.0,0.0896,2,154,156
9894,2012-02-22,1,1,2,6,0,3,1,1,0.32,0.3182,0.76,0.1642,5,85,90
8998,2012-01-15,1,1,1,18,0,0,0,1,0.18,0.1818,0.29,0.2239,7,113,120
8990,2012-01-15,1,1,1,10,0,0,0,1,0.14,0.1212,0.54,0.2836,11,115,126
8938,2012-01-13,1,1,1,6,0,5,1,2,0.26,0.2576,0.75,0.2239,2,71,73
8473,2011-12-24,1,0,12,16,0,6,0,1,0.32,0.3182,0.42,0.19399999999999998,25,74,99
8184,2011-12-12,4,0,12,15,0,1,1,2,0.32,0.3333,0.57,0.1045,8,124,132
9202,2012-01-24,1,1,1,7,0,2,1,2,0.32,0.3333,0.93,0.1343,11,221,232
5102,2011-08-05,3,0,8,11,0,5,1,2,0.76,0.6970000000000001,0.52,0.2537,44,103,147
8741,2012-01-05,1,1,1,0,0,4,1,2,0.22,0.2273,0.47,0.19399999999999998,1,13,14
7637,2011-11-19,4,0,11,19,0,6,0,2,0.34,0.3333,0.71,0.1343,33,149,182
